day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20210201,S1A,LOWCOV,0.438,,,,,
20210125,S1A,OK,0.892,372.0,99.0,81.0,70.0,122.0
20210108,S1A,LOWCOV,0.436,,,,,
20210113,S1A,OK,0.897,418.0,122.0,82.0,70.0,144.0
20210102,S1A,OK,1.0,416.0,126.0,122.0,56.0,112.0
20201227,S1A,LOWCOV,0.437,,,,,
20201215,S1A,LOWCOV,0.437,,,,,
20201010,S1A,OK,1.0,374.0,122.0,72.0,53.0,127.0
20201009,S1A,OK,0.887,355.0,87.0,74.0,57.0,137.0
20210114,S1A,OK,1.0,439.0,125.0,98.0,71.0,145.0
20201004,S1A,LOWCOV,0.435,,,,,
20210101,S1A,OK,0.896,397.0,117.0,75.0,60.0,145.0
20200927,S1A,OK,0.89,360.0,91.0,78.0,55.0,136.0
20200928,S1A,OK,1.0,386.0,118.0,79.0,63.0,126.0
20200922,S1A,LOWCOV,0.436,,,,,
20201016,S1A,LOWCOV,0.436,,,,,
20200829,S1A,LOWCOV,0.392,,,,,
20200823,S1A,OK,0.999,341.0,99.0,68.0,52.0,122.0
20200618,S1A,LOWCOV,0.377,,,,,
20200519,S1A,OK,0.982,336.0,89.0,79.0,47.0,121.0
20200501,S1A,LOWCOV,0.436,,,,,
20200326,S1A,LOWCOV,0.438,,,,,
20190519,S1A,LOWCOV,0.438,,,,,
20190524,S1A,OK,0.887,369.0,94.0,75.0,67.0,133.0
