_id,month,vessel_type,number_of_vessels,gross_tonnage
581,2001-01,Passenger,4898,2637
582,2001-01,Barges,1389,1605
583,2001-01,Tug,1080,204
584,2001-01,Miscellaneous,868,5021
585,2001-02,Container,1250,24296
586,2001-02,Freighter,752,3076
587,2001-02,Bulk Carrier,339,10900
588,2001-02,Tanker,1201,20471
589,2001-02,Passenger,4283,2389
590,2001-02,Barges,1401,1623
591,2001-02,Tug,1113,182
592,2001-02,Miscellaneous,792,4634
593,2001-03,Container,1431,27892
594,2001-03,Freighter,789,3266
595,2001-03,Bulk Carrier,373,11729
596,2001-03,Tanker,1424,25510
597,2001-03,Passenger,4638,3040
598,2001-03,Barges,1682,1864
599,2001-03,Tug,1354,240
600,2001-03,Miscellaneous,883,5251
601,2001-04,Container,1397,27382
602,2001-04,Freighter,791,3070
603,2001-04,Bulk Carrier,371,12294
604,2001-04,Tanker,1307,24867
605,2001-04,Passenger,4379,2406
606,2001-04,Barges,1550,1858
607,2001-04,Tug,1262,234
608,2001-04,Miscellaneous,805,4850
609,2001-05,Container,1397,27807
610,2001-05,Freighter,804,3038
611,2001-05,Bulk Carrier,433,14586
612,2001-05,Tanker,1369,24483
613,2001-05,Passenger,4641,2313
614,2001-05,Barges,1750,2168
615,2001-05,Tug,1359,249
616,2001-05,Miscellaneous,808,4817
617,2001-06,Container,1385,27583
618,2001-06,Freighter,756,2998
619,2001-06,Bulk Carrier,415,13878
620,2001-06,Tanker,1318,24938
621,2001-06,Passenger,4369,2368
622,2001-06,Barges,1654,2018
623,2001-06,Tug,1327,231
624,2001-06,Miscellaneous,824,4927
625,2001-07,Container,1479,29274
626,2001-07,Freighter,847,3487
627,2001-07,Bulk Carrier,438,13957
628,2001-07,Tanker,1438,25163
629,2001-07,Passenger,4667,2364
630,2001-07,Barges,1731,2123
631,2001-07,Tug,1465,265
632,2001-07,Miscellaneous,847,4943
633,2001-08,Container,1490,29597
634,2001-08,Freighter,826,2973
635,2001-08,Bulk Carrier,453,14911
636,2001-08,Tanker,1434,25574
637,2001-08,Passenger,4727,2418
638,2001-08,Barges,1596,2029
639,2001-08,Tug,1316,237
640,2001-08,Miscellaneous,854,4377
641,2001-09,Container,1452,28785
642,2001-09,Freighter,860,3423
643,2001-09,Bulk Carrier,452,14771
644,2001-09,Tanker,1373,25395
645,2001-09,Passenger,4456,2607
646,2001-09,Barges,1457,1781
647,2001-09,Tug,1205,220
648,2001-09,Miscellaneous,800,4428
649,2001-10,Container,1500,29438
650,2001-10,Freighter,798,3137
651,2001-10,Bulk Carrier,472,15511
652,2001-10,Tanker,1472,28990
653,2001-10,Passenger,4372,2498
654,2001-10,Barges,1662,2088
655,2001-10,Tug,1318,234
656,2001-10,Miscellaneous,860,5063
657,2001-11,Container,1414,28624
658,2001-11,Freighter,825,3526
659,2001-11,Bulk Carrier,438,14845
660,2001-11,Tanker,1412,26592
661,2001-11,Passenger,4232,2721
662,2001-11,Barges,1469,1949
663,2001-11,Tug,1231,223
664,2001-11,Miscellaneous,850,3923
665,2001-12,Container,1453,29718
666,2001-12,Freighter,779,3056
667,2001-12,Bulk Carrier,433,14597
668,2001-12,Tanker,1388,27416
669,2001-12,Passenger,4354,3139
670,2001-12,Barges,1418,1863
671,2001-12,Tug,1205,238
672,2001-12,Miscellaneous,885,4652
673,2002-01,Container,1449,29562
674,2002-01,Freighter,819,2706
675,2002-01,Bulk Carrier,389,13101
676,2002-01,Tanker,1384,26206
677,2002-01,Passenger,4243,2503
678,2002-01,Barges,1503,1929
679,2002-01,Tug,1212,248
680,2002-01,Miscellaneous,911,4470
681,2002-02,Container,1283,26103
682,2002-02,Freighter,734,2563
683,2002-02,Bulk Carrier,383,12939
684,2002-02,Tanker,1235,21854
685,2002-02,Passenger,3980,3098
686,2002-02,Barges,1192,1571
687,2002-02,Tug,1002,204
688,2002-02,Miscellaneous,703,3865
689,2002-03,Container,1437,29268
690,2002-03,Freighter,946,3203
691,2002-03,Bulk Carrier,399,13184
692,2002-03,Tanker,1452,28396
693,2002-03,Passenger,4506,3294
694,2002-03,Barges,1433,1941
695,2002-03,Tug,1189,248
696,2002-03,Miscellaneous,753,4280
697,2002-04,Container,1382,28538.37
698,2002-04,Freighter,898,2952.86
699,2002-04,Bulk Carrier,406,13897.93
700,2002-04,Tanker,1439,29213
701,2002-04,Passenger,4200,2215
702,2002-04,Barges,1405,1928.99
703,2002-04,Tug,1169,232
704,2002-04,Miscellaneous,732,4323.54
705,2002-05,Container,1426,30422.78
706,2002-05,Freighter,937,2960.02
707,2002-05,Bulk Carrier,443,15012.83
708,2002-05,Tanker,1474,25734.2
709,2002-05,Passenger,4392,2131
710,2002-05,Barges,1364,1843.26
711,2002-05,Tug,1182,228
712,2002-05,Miscellaneous,871,4946.22
713,2002-06,Container,1383,29609
714,2002-06,Freighter,925,2733.46
715,2002-06,Bulk Carrier,444,15189.02
716,2002-06,Tanker,1435,24798
717,2002-06,Passenger,4198,1934
718,2002-06,Barges,1329,1797.52
719,2002-06,Tug,1151,224
720,2002-06,Miscellaneous,854,4284.53
721,2002-07,Container,1384,30078.23
722,2002-07,Freighter,898,2521.31
723,2002-07,Bulk Carrier,461,15135.23
724,2002-07,Tanker,1427,27466
725,2002-07,Passenger,4758,1852
726,2002-07,Barges,1378,1830.82
727,2002-07,Tug,1213,250
728,2002-07,Miscellaneous,939,4875.26
729,2002-08,Container,1375,30095.96
730,2002-08,Freighter,881,2775.08
